,min_color,max_color,mean_color,median_color
220,26,255,110.53366013071896,92.0
221,15,57,30.622841444270016,30.0
222,37,255,137.53125,134.5
223,12,59,27.11888111888112,26.0
224,20,255,84.59962406015038,70.0
225,24,255,92.37613981762918,76.0
226,20,255,89.8401994227237,81.0
227,40,255,166.57485380116958,175.5
228,11,43,18.569285714285716,18.0
229,8,21,13.534113060428849,13.0
230,11,43,18.74809489575845,18.0
231,7,82,20.473765135498752,18.0
232,4,255,48.506020367369224,23.0
233,4,255,47.71539224015859,18.0
234,6,255,61.81559560401943,26.0
235,6,83,18.573722297602895,17.0
236,9,48,15.730978260869565,15.0
237,6,100,21.341697334671572,19.0
238,53,255,152.91726907630522,140.0
239,21,62,36.53186420488386,35.0
240,19,255,76.61140285071268,60.0
241,20,202,62.87577736318408,57.0
242,24,92,47.89316239316239,46.0
243,9,55,19.599799649386426,19.0
244,11,73,20.88065587380656,20.0
245,9,38,14.76790450928382,14.0
246,10,73,19.44556373498644,18.0
247,6,106,18.31528724440117,17.0
248,18,48,29.604138398914518,29.0
249,66,255,143.92948717948718,129.0
250,35,96,60.74409722222222,60.0
251,10,69,19.93694800257355,19.0
252,35,255,98.3052995391705,87.0
253,43,255,144.57876943881,133.0
254,16,255,131.78394000937354,112.0
255,32,255,147.89208252512785,142.0
256,17,255,117.0258547008547,92.0
257,18,255,104.10633680555556,83.0
258,20,185,61.180994152046786,55.0
259,20,75,37.68,36.0
260,8,87,18.738784833257196,17.0
261,7,87,16.265646258503402,14.0
262,4,255,26.66446756790211,13.0
263,32,83,51.10141843971631,50.0
264,27,255,91.46929392446634,84.0
265,10,81,23.712748789671867,20.0
266,10,24,15.643472906403941,15.0
267,10,23,14.947297297297297,15.0
268,14,88,35.13319273199221,33.0
269,5,160,17.778929604628736,11.0
270,19,255,105.63448180050014,85.0
271,10,24,16.105671641791044,16.0
272,50,255,204.6265060240964,255.0
273,10,36,19.443463872035302,18.0
274,6,95,32.723026315789475,29.0
275,2,27,9.717013094039007,9.0
276,2,17,7.274631751227496,7.0
277,4,24,11.881642512077295,11.0
278,11,96,36.20075757575758,34.0
279,20,255,83.99274339850837,75.0
280,23,255,121.42617283950618,100.0
281,36,207,99.94360902255639,97.0
282,10,65,26.607707509881422,25.0
283,32,255,159.62741270873997,162.0
284,23,102,46.44871794871795,44.0
285,11,55,21.835664335664337,21.0
286,6,53,13.925935828877005,13.0
287,10,33,17.155882352941177,17.0
288,5,255,66.39249276857187,16.0
289,8,40,15.83148148148148,15.0
290,5,60,19.13639301874596,18.0
291,4,16,9.153958944281525,9.0
292,3,24,10.94945054945055,11.0
293,3,255,31.249199032884317,14.0
294,5,21,9.670032633458531,9.0
295,16,68,30.587813620071685,29.0
296,5,36,16.16177908113392,16.0
297,3,15,7.526891807379612,7.0
298,8,32,15.54306891025641,15.0
299,3,26,9.205910054155876,9.0
300,9,83,34.04451710261569,33.0
301,7,177,41.160996835443036,35.0
302,9,31,16.622343782873973,16.0
303,5,255,61.57006129385497,23.0
304,9,54,17.547815384615383,17.0
305,36,255,150.9438596491228,141.0
306,15,60,32.32065573770492,31.0
307,5,255,59.01440252629557,17.0
308,9,47,16.796791443850267,15.0
309,23,255,81.74532613211467,62.0
310,40,146,83.55493895671476,83.0
311,20,255,78.72912885662431,71.0
312,22,236,57.030006523157205,50.0
313,12,38,20.930703624733475,20.0
314,10,111,23.64939165970094,21.0
315,9,47,15.943426943426944,15.0
316,5,121,23.472524154589372,13.0
317,5,255,65.62765208304938,18.0
318,14,154,39.98633069828722,36.0
319,15,62,33.08684210526316,32.0
320,9,52,22.788257575757576,22.0
321,6,21,11.841142857142858,12.0
322,9,25,14.952881478796666,15.0
323,8,167,39.1606602059358,36.0
324,5,23,12.637571157495255,12.0
325,18,251,100.51916095199677,97.0
326,5,255,53.76023622762102,14.0
327,18,179,55.943225806451615,49.0
328,10,29,17.194847020933977,17.0
329,9,28,16.052202566770724,16.0
330,9,88,19.948924593193368,18.0
331,10,29,17.934321492461027,18.0
332,9,53,16.764642857142857,16.0
333,18,193,66.60972222222222,61.0
334,10,22,14.788541666666667,15.0
335,10,22,15.67953667953668,16.0
336,9,22,15.56875,15.0
337,13,36,21.82010582010582,21.0
338,26,151,71.98746168849262,69.0
339,20,179,66.00639175257731,63.0
340,51,184,84.98840885142255,81.0
341,5,255,32.68357487922705,11.0
342,11,126,32.441757779646764,29.0
343,8,115,18.386028304727493,17.0
344,11,84,29.30505664548218,27.0
345,5,255,32.924580522400966,13.0
346,8,255,41.72840346534653,16.0
347,9,40,16.865909090909092,16.0
348,5,255,21.402060134686522,13.0
349,8,18,13.523148148148149,14.0
350,15,39,24.841463414634145,24.0
351,14,77,28.626573426573426,28.0
352,14,47,26.315177154944475,26.0
353,18,255,86.83675652545999,65.0
354,25,255,88.24211853720051,75.0
355,20,255,78.48904977375565,71.0
356,33,255,87.37934904601572,81.0
357,10,25,15.239102564102565,15.0
358,7,64,19.36446335078534,18.0
359,4,255,23.22393631061772,13.0
360,41,255,122.00213675213675,91.0
361,21,227,64.61196379378198,56.0
362,22,255,91.16285714285715,72.0
363,27,255,92.13428714859438,75.0
364,13,47,28.112638815441564,28.0
365,31,255,124.72215189873418,98.5
366,20,255,96.25554187192118,72.0
367,22,160,56.54588235294118,53.0
368,6,255,59.11087498845052,21.0
369,9,34,16.737700895595633,16.0
370,10,147,26.03288740245262,22.0
371,5,255,55.054810029636045,19.0
372,8,117,48.15260989010989,42.0
373,10,74,18.712412587412587,17.0
374,10,38,16.635989524878415,16.0
375,9,58,19.60535117056856,18.0
376,6,69,19.213735037532967,17.0
377,7,54,17.745098039215687,17.0
378,16,255,113.5670971364402,89.0
379,12,196,37.1213096661455,33.0
380,17,255,73.1,61.0
381,7,65,22.369285714285713,21.0
382,10,83,21.876079567615758,20.0
383,3,31,11.967389596102468,11.0
384,13,255,112.14641608391608,105.0
385,10,138,46.2768115942029,44.0
386,8,255,62.96415770609319,53.0
387,9,44,19.88312187620146,19.0
388,9,50,17.45997973657548,17.0
389,7,255,56.33075221238938,45.0
390,10,120,24.203751065643647,19.0
391,9,55,19.612552176505666,19.0
392,4,255,56.74917499083323,13.0
393,4,12,7.349137931034483,7.0
394,5,255,33.99192898622402,15.0
395,8,18,12.077457264957266,12.0
396,5,255,53.08740951577764,23.0
397,7,156,24.2001292672895,18.0
398,4,255,70.70435044318812,19.0
399,23,255,108.43589743589743,92.0
400,12,48,26.111888111888113,26.0
401,11,46,23.25190438665616,23.0
402,22,174,69.30899256254226,68.0
403,28,255,83.48309178743962,73.0
404,10,23,15.112215078901228,15.0
405,6,196,43.26624177631579,28.0
406,6,255,73.21672480365056,32.0
407,6,255,48.18315937374548,23.0
408,24,132,60.101553166069294,59.0
409,52,255,192.59439806086723,221.0
410,23,188,53.230050933786075,48.0
411,6,100,24.093310556545852,22.0
412,26,225,70.87595907928389,65.0
413,10,58,21.321290322580644,18.0
414,6,255,51.533776617443095,16.0
415,4,75,10.960680891872453,11.0
416,13,36,21.651702786377708,21.0
417,29,255,163.90243902439025,163.0
418,24,151,54.38235294117647,51.0
419,8,25,16.47329434697856,16.0
420,14,255,63.59355459355459,47.0
421,6,91,22.427643749764034,21.0
422,16,255,62.37421602787457,49.0
423,12,255,57.62821492233257,43.0
424,4,66,14.19387783097162,12.0
425,4,255,16.52241713676045,11.0
426,3,255,16.974812441511887,11.0
427,16,253,72.68987573099415,63.0
428,12,71,24.448803827751195,23.0
429,5,255,44.50899924749267,22.0
430,9,42,15.903550609432962,15.0
431,5,157,20.922941176470587,13.0
432,10,27,14.995423340961098,15.0
433,11,43,20.58228840125392,20.0
434,10,58,27.19702743902439,26.0
435,6,26,14.333333333333334,14.0
436,17,157,48.365817091454275,44.0
437,4,255,18.40110243361035,12.0
438,4,86,15.308721028386755,12.0
439,5,255,62.39032430506058,20.0
440,9,222,28.130459337349397,25.0
441,14,56,26.976441631504922,26.0
442,7,248,53.794610399873555,46.0
443,6,255,32.90871346280317,24.0
444,11,40,19.38806161745828,19.0
445,7,255,88.9034897545283,37.0
446,7,219,24.83779119930975,20.0
447,7,115,18.791682179200794,16.0
448,8,22,12.92030910408114,13.0
449,4,255,54.59596928982725,13.0
450,10,37,18.13138138138138,17.0
451,9,19,13.335637480798772,13.0
452,5,255,77.03259863945578,28.0
453,5,255,49.28216239473846,14.0
454,12,133,30.249674690956407,26.0
455,5,255,42.18503937007874,12.0
456,9,120,22.53720771462707,19.0
457,9,40,16.203805760632214,16.0
458,9,26,15.110355253212395,15.0
459,7,255,109.0566439919862,62.0
460,3,255,23.951605343110185,12.0
461,5,255,31.08287161358306,24.0
462,6,255,70.62609325385772,27.0
463,8,119,23.580975506756758,21.0
464,5,255,68.85024561403509,18.0
465,5,255,61.499775432292836,14.0
466,5,255,36.62442841247622,25.0
467,10,68,22.83850832266325,22.0
468,8,36,15.496240601503759,15.0
469,11,102,27.749798549556807,24.0
470,5,255,19.535092189382006,13.0
471,5,106,17.219230688298296,14.0
472,10,50,18.91352103960396,19.0
473,8,21,12.312792056074766,12.0
